Stage,m1,m2,ADReduction,ADTrainM1,ADTrainInteriorPoints,ADTrainBoundaryPoints,GrowthReduction,GrowthTrainPoints,GrowthTrainM1,GrowthTrainM2,ADUpdates,BaseNewtonIters,GrowthNewtonIters,GrowthTrainCheckpoint,GrowthNewtonCheckpoint,p1,p2,rho,TimeSec,GrowthExtraTimeSec,GrowthDDADTrainTimeSec,GrowthNewtonTimeSec,RelL2,RelH1,RelLinf
PDAD only,3000,0,0,3000,10000,400,0,NaN,NaN,NaN,2,10,0,NaN,NaN,25.5561016467838,25.6291009412503,NaN,126.7118983,0,0,0,0.0184534072743212,0.210299595418631,0.106767877484205
PDAD+growth,3000,500,0,3000,10000,400,0,10000,3000,500,2,10,4,15,4,25.5561016467838,25.6291009412503,1.09944880855169,160.9260703,34.214172,26.4169844,7.3535227,0.00446045720592839,0.0103575293653069,0.0283944134214045
